z,p,t,n,H2O,O3,N2O,CO,CH4
60.00,1.880e-01,250.8,5.433e+15,4.50e+00,1.00e+00,1.81e-03,2.93e-01,1.50e-01
65.00,9.500e-02,240.9,2.858e+15,4.00e+00,5.50e-01,1.32e-03,5.59e-01,1.50e-01
70.00,4.700e-02,230.7,1.477e+15,3.30e+00,3.20e-01,1.01e-03,1.08e+00,1.50e-01
75.00,2.220e-02,220.4,7.301e+14,2.70e+00,2.50e-01,7.88e-04,1.90e+00,1.50e-01
80.00,1.030e-02,210.1,3.553e+14,2.00e+00,2.30e-01,6.33e-04,2.96e+00,1.50e-01
85.00,4.560e-03,199.8,1.654e+14,1.33e+00,5.50e-01,5.19e-04,4.53e+00,1.50e-01
90.00,1.980e-03,199.5,7.194e+13,8.50e-01,8.00e-01,4.33e-04,6.86e+00,1.40e-01
95.00,8.770e-04,208.3,3.052e+13,5.40e-01,8.00e-01,3.67e-04,1.05e+01,1.30e-01
100.00,4.074e-04,218.6,1.351e+13,4.00e-01,4.00e-01,3.14e-04,1.71e+01,1.20e-01
105.00,2.000e-04,237.1,6.114e+12,3.40e-01,2.00e-01,2.72e-04,2.47e+01,1.10e-01
110.00,1.057e-04,259.5,2.952e+12,2.80e-01,5.00e-02,2.37e-04,3.36e+01,9.50e-02
115.00,5.980e-05,293.0,1.479e+12,2.40e-01,5.00e-03,2.09e-04,4.15e+01,6.00e-02
120.00,3.600e-05,333.0,7.836e+11,2.00e-01,5.00e-04,1.85e-04,5.00e+01,3.00e-02
