z,p,t,n,H2O,O3,N2O,CO,CH4
21.00,4.800e+01,210.7,1.651e+18,2.65e+00,1.80e+00,2.19e-01,1.23e-02,1.36e+00
22.00,4.090e+01,214.6,1.381e+18,2.80e+00,2.40e+00,2.05e-01,1.23e-02,1.27e+00
23.00,3.500e+01,217.0,1.169e+18,2.90e+00,3.40e+00,1.97e-01,1.31e-02,1.19e+00
24.00,3.000e+01,219.2,9.920e+17,3.20e+00,4.30e+00,1.88e-01,1.40e-02,1.12e+00
25.00,2.570e+01,221.4,8.413e+17,3.25e+00,5.40e+00,1.76e-01,1.52e-02,1.06e+00
27.50,1.763e+01,227.0,5.629e+17,3.60e+00,7.80e+00,1.59e-01,1.72e-02,9.87e-01
30.00,1.220e+01,232.3,3.807e+17,4.00e+00,9.30e+00,1.42e-01,2.00e-02,9.14e-01
32.50,8.520e+00,237.7,2.598e+17,4.30e+00,9.85e+00,1.17e-01,2.27e-02,8.30e-01
35.00,6.000e+00,243.1,1.789e+17,4.60e+00,9.70e+00,9.28e-02,2.49e-02,7.46e-01
37.50,4.260e+00,248.5,1.243e+17,4.90e+00,8.80e+00,6.69e-02,2.74e-02,6.62e-01
40.00,3.050e+00,254.0,8.703e+16,5.20e+00,7.50e+00,4.51e-02,3.10e-02,5.64e-01
42.50,2.200e+00,259.4,6.147e+16,5.50e+00,5.90e+00,2.75e-02,3.51e-02,4.61e-01
45.00,1.590e+00,264.8,4.352e+16,5.70e+00,4.50e+00,1.59e-02,3.99e-02,3.63e-01
47.50,1.160e+00,269.6,3.119e+16,5.90e+00,3.45e+00,9.38e-03,4.48e-02,2.77e-01
50.00,8.540e-01,270.2,2.291e+16,6.00e+00,2.80e+00,4.75e-03,5.09e-02,2.10e-01
55.00,4.560e-01,263.4,1.255e+16,6.00e+00,1.80e+00,3.00e-03,5.98e-02,1.65e-01
60.00,2.390e-01,253.1,6.844e+15,6.00e+00,1.10e+00,2.07e-03,6.96e-02,1.50e-01
65.00,1.210e-01,236.0,3.716e+15,5.40e+00,6.50e-01,1.51e-03,9.19e-02,1.50e-01
70.00,5.800e-02,218.9,1.920e+15,4.50e+00,3.00e-01,1.15e-03,1.94e-01,1.50e-01
75.00,2.600e-02,201.8,9.338e+14,3.30e+00,1.80e-01,8.89e-04,5.69e-01,1.50e-01
80.00,1.100e-02,184.8,4.314e+14,2.10e+00,3.30e-01,7.06e-04,1.55e+00,1.50e-01
85.00,4.400e-03,177.1,1.801e+14,1.30e+00,5.00e-01,5.72e-04,3.85e+00,1.50e-01
90.00,1.720e-03,177.0,7.043e+13,8.50e-01,5.20e-01,4.71e-04,6.59e+00,1.40e-01
95.00,6.880e-04,184.3,2.706e+13,5.40e-01,5.00e-01,3.93e-04,1.04e+01,1.30e-01
100.00,2.890e-04,190.7,1.098e+13,4.00e-01,4.00e-01,3.32e-04,1.71e+01,1.20e-01
105.00,1.300e-04,212.0,4.445e+12,3.40e-01,2.00e-01,2.84e-04,2.47e+01,1.10e-01
110.00,6.470e-05,241.6,1.941e+12,2.80e-01,5.00e-02,2.44e-04,3.36e+01,9.50e-02
115.00,3.600e-05,299.7,8.706e+11,2.40e-01,5.00e-03,2.12e-04,4.15e+01,6.00e-02
120.00,2.250e-05,380.0,4.225e+11,2.00e-01,5.00e-04,1.85e-04,5.00e+01,3.00e-02
