z,p,t,n,H2O,O3,N2O,CO,CH4
20.00,5.900e+01,225.2,1.899e+18,4.60e+00,2.10e+00,1.57e-01,1.33e-02,1.07e+00
21.00,5.070e+01,225.2,1.632e+18,4.70e+00,2.70e+00,1.35e-01,1.23e-02,9.90e-01
22.00,4.360e+01,225.2,1.403e+18,4.80e+00,3.30e+00,1.22e-01,1.23e-02,9.17e-01
23.00,3.750e+01,225.2,1.207e+18,4.83e+00,3.70e+00,1.10e-01,1.31e-02,8.57e-01
24.00,3.228e+01,226.6,1.033e+18,4.85e+00,4.20e+00,9.89e-02,1.40e-02,8.01e-01
25.00,2.780e+01,228.1,8.834e+17,4.90e+00,4.50e+00,8.78e-02,1.51e-02,7.48e-01
27.50,1.923e+01,231.1,6.034e+17,4.95e+00,5.30e+00,7.33e-02,1.65e-02,6.96e-01
30.00,1.340e+01,235.1,4.131e+17,5.00e+00,5.70e+00,5.94e-02,1.81e-02,6.44e-01
32.50,9.400e+00,240.0,2.839e+17,5.00e+00,6.90e+00,4.15e-02,2.00e-02,5.89e-01
35.00,6.610e+00,247.2,1.938e+17,5.00e+00,7.70e+00,3.03e-02,2.18e-02,5.24e-01
37.50,4.720e+00,254.6,1.344e+17,5.00e+00,7.80e+00,1.95e-02,2.34e-02,4.51e-01
40.00,3.400e+00,262.1,9.402e+16,5.00e+00,7.00e+00,1.27e-02,2.50e-02,3.71e-01
42.50,2.480e+00,269.5,6.670e+16,5.00e+00,5.40e+00,9.00e-03,2.65e-02,2.99e-01
45.00,1.820e+00,273.6,4.821e+16,5.00e+00,4.20e+00,6.29e-03,2.81e-02,2.45e-01
47.50,1.340e+00,276.2,3.516e+16,5.00e+00,3.20e+00,4.56e-03,3.00e-02,2.00e-01
50.00,9.870e-01,277.2,2.581e+16,4.95e+00,2.50e+00,2.80e-03,3.22e-02,1.66e-01
55.00,5.370e-01,274.0,1.421e+16,4.85e+00,1.70e+00,1.77e-03,3.65e-02,1.50e-01
60.00,2.880e-01,262.7,7.946e+15,4.50e+00,1.20e+00,1.21e-03,4.59e-02,1.50e-01
65.00,1.470e-01,239.7,4.445e+15,4.00e+00,8.00e-01,8.87e-04,6.38e-02,1.50e-01
70.00,7.100e-02,216.6,2.376e+15,3.30e+00,4.00e-01,6.76e-04,1.18e-01,1.50e-01
75.00,3.200e-02,193.6,1.198e+15,2.70e+00,2.00e-01,5.54e-04,3.03e-01,1.50e-01
80.00,1.250e-02,170.6,5.311e+14,2.00e+00,1.80e-01,4.65e-04,7.89e-01,1.50e-01
85.00,4.510e-03,161.7,2.022e+14,1.33e+00,6.50e-01,3.98e-04,1.82e+00,1.50e-01
90.00,1.610e-03,161.6,7.221e+13,8.50e-01,9.00e-01,3.46e-04,3.40e+00,1.40e-01
95.00,6.060e-04,176.8,2.484e+13,5.40e-01,8.00e-01,3.05e-04,5.92e+00,1.30e-01
100.00,2.480e-04,190.4,9.441e+12,4.00e-01,4.00e-01,2.71e-04,1.04e+01,1.20e-01
105.00,1.130e-04,226.0,3.624e+12,3.40e-01,2.00e-01,2.44e-04,1.88e+01,1.10e-01
110.00,6.000e-05,270.1,1.610e+12,2.80e-01,5.00e-02,2.21e-04,2.87e+01,9.50e-02
115.00,3.540e-05,322.7,7.951e+11,2.40e-01,5.00e-03,2.02e-04,3.89e+01,6.00e-02
120.00,2.260e-05,380.0,4.311e+11,2.00e-01,5.00e-04,1.85e-04,5.00e+01,3.00e-02
